date,open,high,low,close,volume
20090105,23.4,23.45,22.9,22.98,29607176
20090112,22.91,23.18,19.82,19.99,513913228
20090119,20.2,20.23,14.15,15.2,999586145
20090126,15.49,17.58,14.69,16.44,1525972977
20090202,16.27,16.37,14.82,15.58,1155364213
20090209,15.62,19.53,15.46,18.99,3065454496
20090216,18.89,19.1,13.5,14.4,2138185244
20090223,14.0,14.99,13.88,14.27,1213562762
20090302,13.8,16.62,13.75,15.81,2101323788
20090309,16.06,17.73,16.05,16.9,2171658440
20090316,16.91,25.03,16.85,22.9,4798679097
20090323,24.0,26.89,22.02,22.63,3841862248
20090330,21.9,23.82,19.95,22.9,2820279171
20090406,23.7,27.59,22.15,26.85,4039957833
20090413,26.73,29.94,26.25,28.85,4063301987
20090420,28.78,28.96,25.05,27.75,3227554222
20090427,27.5,28.22,25.63,27.8,1704311547
20090504,28.4,32.55,28.06,32.27,2652409899
20090511,31.17,35.49,30.34,32.98,2549309800
20090518,32.15,40.19,31.61,39.01,4216797950
20090525,39.15,44.53,37.56,44.13,2965935310
20090601,45.9,56.9,45.73,50.75,4484783423
20090608,49.4,51.45,47.23,47.98,1549434557
20090615,46.88,46.88,40.26,41.1,2896473024
20090622,40.47,43.74,31.19,39.72,4773247787
20090629,39.0,41.3,36.6,38.54,2636488561
20090706,37.53,38.27,34.31,34.36,2232611262
20090713,33.39,38.42,32.5,38.02,3170683479
20090720,38.65,41.6,38.57,40.85,2628235443
20090727,41.6,43.45,39.2,42.39,2867689840
20090803,43.12,48.48,43.09,47.8,4003166651
20090810,47.6,49.4,45.28,46.7,3071462600
20090817,45.2,49.0,44.33,48.71,2226086955
20090824,49.5,50.07,47.4,48.27,2013170660
20090831,47.6,56.12,47.05,53.13,2450485684
20090907,54.51,59.75,53.13,59.2,2283797488
20090914,58.0,63.29,56.8,57.69,1822363282
20090921,57.99,62.26,54.82,59.65,2368029372
20090928,59.0,61.73,55.66,58.55,1720140317
20091005,58.9,69.35,57.73,68.43,2157485348
20091012,69.32,72.29,64.67,64.97,2043718001
20091019,65.67,71.2,64.76,69.81,2221407023
20091026,69.3,70.81,62.87,64.61,2065656640
20091102,64.06,66.64,61.75,65.0,1555363894
20091109,65.9,71.17,65.81,69.84,1414700230
20091116,70.94,74.89,69.85,71.2,1590594106
20091123,72.4,72.93,63.2,67.4,1454533877
20091130,68.42,74.93,66.74,74.62,1450064365
20091207,74.0,75.84,72.0,74.99,1143395984
20091214,75.81,84.4,74.96,81.19,1235701379
20091221,82.17,82.65,79.41,80.92,648852606
20091228,81.21,83.8,79.8,83.65,162615977
20100111,86.56,88.67,84.1,88.15,662075997
20100118,87.85,92.49,85.75,86.5,1110154331
20100125,85.68,88.8,84.95,88.41,940902982
20100201,87.6,89.8,80.89,83.09,933107538
20100208,83.0,84.05,78.1,80.0,1333667665
20100215,80.02,83.94,76.58,79.17,994668425
20100222,78.55,79.32,73.23,76.3,754777996
20100301,77.0,87.4,76.71,87.2,1370882207
20100308,87.0,90.1,86.4,89.1,960982411
20100315,88.3,90.92,87.63,88.04,995815980
20100322,87.5,87.69,84.47,84.6,919515041
20100329,84.5,88.86,84.05,88.18,768788899
20100405,88.5,89.14,84.4,86.88,686448922
20100412,87.75,90.27,85.63,86.99,669598869
20100419,85.6,88.0,82.81,84.42,832938503
20100426,85.45,85.84,77.82,78.6,833548617
20100503,79.2,80.09,69.51,70.35,1170717924
20100510,73.6,84.73,71.15,77.43,1309910004
20100517,75.3,78.28,67.16,69.3,1715858825
20100524,71.0,72.07,63.81,70.2,1804057068
20100531,70.27,73.53,68.08,70.25,1201606311
20100607,67.65,73.8,67.4,72.19,1278772386
20100614,72.65,80.3,72.24,80.3,1079564077
20100621,82.0,84.56,77.7,78.0,1022246748
20100628,78.52,80.7,71.5,72.98,1139701621
20100705,73.06,79.45,72.76,77.66,1012420395
20100712,77.0,84.27,76.95,79.07,1262934665
20100719,78.65,84.2,78.5,83.01,1043351600
20100726,84.1,86.7,83.1,84.56,917918607
20100802,85.4,86.9,82.46,82.83,769722303
20100809,83.5,84.2,79.84,80.71,711912521
20100816,81.15,81.75,78.04,78.37,757990837
20100823,78.49,78.96,73.55,77.01,1018840178
20100830,78.0,82.35,75.72,81.72,798429545
20100906,82.11,84.5,79.42,83.36,752140680
20100913,84.61,85.86,82.05,82.15,796144936
20100920,82.5,85.0,81.65,84.81,675080386
20100927,85.25,89.92,82.54,89.09,875722686
20101004,89.3,92.99,88.95,90.5,874179693
20101011,90.98,92.54,90.07,92.53,761467915
20101018,92.0,104.44,91.74,101.9,1316462444
20101025,103.5,104.2,98.35,101.36,749305592
20101101,102.37,103.75,101.61,103.3,341341015
20101108,105.58,106.47,95.86,97.8,1019911190
20101115,98.17,99.93,94.74,98.7,1064572877
20101122,99.74,103.1,97.35,101.36,959003872
20101129,102.26,104.31,99.62,103.03,895486415
20101206,103.49,108.9,102.95,104.92,1092782388
20101213,105.84,108.25,105.44,105.7,650909657
20101220,105.5,107.64,105.11,106.23,333862645
20101227,106.25,106.39,103.25,104.18,221623696
20110110,105.0,108.87,102.5,107.21,641664055
20110117,107.32,110.95,104.27,105.61,796582933
20110124,106.02,109.92,102.61,106.38,776890242
20110131,105.79,107.35,102.38,102.8,805311787
20110207,103.36,103.86,96.2,101.04,1067024485
20110214,102.0,103.09,98.65,100.82,888878268
20110221,100.82,102.0,95.5,100.34,735585560
20110228,100.82,103.0,97.85,101.55,895715241
20110307,101.85,103.48,97.25,98.75,645246780
20110314,97.94,100.3,93.71,100.16,1251301830
20110321,100.99,107.15,99.5,106.94,1143559250
20110328,106.5,109.1,105.55,108.72,733312400
20110404,108.81,109.55,105.88,109.1,765353200
20110411,109.0,109.76,103.64,105.92,816588660
20110418,105.28,105.36,99.77,103.92,677647520
20110425,104.35,104.58,99.26,100.0,618470920
20110502,99.9,100.17,94.66,98.2,728108560
20110509,97.8,99.27,95.15,97.99,597182310
20110516,97.04,98.69,93.93,94.0,677114280
20110523,93.0,97.35,91.5,97.1,724561890
20110530,96.92,98.95,94.19,95.02,548785700
20110606,95.1,99.42,93.26,97.55,727983130
20110613,98.29,98.78,95.25,95.33,497122800
20110620,94.8,97.2,93.86,97.15,583631550
20110627,96.6,104.85,95.67,104.5,853174100
20110704,104.99,107.7,103.25,105.27,747505340
20110711,104.82,105.89,100.81,105.46,893666670
20110718,105.02,105.36,99.86,101.8,926320850
20110725,100.71,103.47,100.14,101.75,611054910
20110801,103.1,104.1,94.12,95.85,1024968530
20110808,93.17,95.03,79.21,85.5,1981241800
20110815,86.7,88.39,75.95,78.78,1261135020
20110822,77.2,81.53,75.58,77.79,1684880510
20110829,79.29,85.36,79.02,82.4,1330395410
20110905,81.49,85.6,79.4,83.2,1390393960
20110912,81.37,82.48,78.35,81.49,1487804250
20110919,80.9,82.59,67.16,69.99,1551219660
20110926,68.98,75.74,66.02,70.44,1856597120
20111003,68.4,69.87,60.91,68.22,2142437230
20111010,68.77,80.88,67.04,80.72,2263067280
20111017,81.6,84.55,75.85,81.9,2491113520
20111024,83.23,86.95,80.71,85.4,1795527350
20111031,84.5,85.14,75.85,80.9,1582846550
20111107,81.04,86.09,76.52,80.8,1981427350
20111114,81.9,82.43,77.65,80.03,1649121000
20111121,79.0,79.37,73.75,78.6,1398011360
20111128,80.0,91.28,79.52,89.5,1823407240
20111205,89.56,90.52,81.65,82.4,1476596200
20111212,83.51,84.8,78.03,80.63,1557425250
20111219,80.1,83.77,78.92,80.0,1002854750
20111226,80.48,81.95,77.2,79.4,405467210
20120102,80.12,84.48,80.12,83.2,452266860
20120109,82.6,87.25,82.42,83.6,973029310
20120116,83.0,86.28,82.55,85.13,884215790
20120123,84.95,91.28,83.82,90.8,1302226950
20120130,90.15,94.79,88.86,94.52,1013324290
20120206,94.81,96.37,92.85,93.94,912991540
20120213,94.63,97.77,94.63,96.76,835784140
20120220,97.6,99.22,95.24,99.02,597591940
20120227,98.6,101.75,98.32,101.6,820349080
20120305,101.8,103.3,96.68,99.57,659746250
20120312,99.14,103.85,98.38,100.18,998808650
20120319,100.93,101.63,95.72,97.6,815475250
20120326,98.09,100.94,93.4,94.86,946767600
